username,bonus_template_name,amount_deposited,num_deposits,num_bets,all_stake_total
BETR49356525,WOODS230222_Ajax,770,20,20,20
BETR56475844,WOODS230222_Ajax,20,1,1,1
BETR68447433,WOODS230222_Ajax,240,12,12,49.52
BETR52665225,WOODS230222_Ajax,20,1,1,1
BETR69487988,WOODS230222_Ajax,20,1,1,1
BETR47322393,WOODS230222_Ajax,16895,872,872,1867.36
BETR52949967,WOODS230222_Ajax,160,8,8,20
BETR63652757,WOODS230222_Ajax,120,6,6,20
BETR72878940,WOODS230222_Ajax,60,3,3,3
BETR79358971,WOODS230222_Ajax,6800,340,340,195.36
BETR46696648,WOODS230222_Ajax,80,4,4,20
BETR56544373,WOODS230222_Ajax,220,11,11,20
BETR42599264,WOODS230222_Ajax,80,4,4,20
BETR46987296,WOODS230222_Ajax,7920,264,264,96.45
BETR98793951,WOODS230222_Ajax,20,1,1,1
BETR29577421,WOODS230222_Ajax,8190,810,810,905.67
BETR92982627,WOODS230222_Ajax,140,7,7,11
BETR25626246,WOODS230222_Ajax,620,31,31,20
BETR59676538,WOODS230222_Ajax,16860,720,720,312
BETR54474757,WOODS230222_Ajax,720,18,18,47.1
BETR66868964,WOODS230222_Ajax,60,3,3,11
BETR46245273,WOODS230222_Ajax,160,8,8,14.51
BETR47266765,WOODS230222_Ajax,20,1,1,1
BETR45593528,WOODS230222_Ajax,300,15,15,20
BETR34794585,WOODS230222_Ajax,177,6,6,40
BETR29576554,WOODS230222_Ajax,640,80,80,200
BETR57824351,WOODS230222_Ajax,30,2,2,2
BETR65748762,WOODS230222_Ajax,14256,319,319,782.71
BETR66225231,WOODS230222_Ajax,20,1,1,1
BETR54386449,WOODS230222_Ajax,20,1,1,1
BETR93379945,WOODS230222_Ajax,3040,80,80,330
BETR23694230,WOODS230222_Ajax,400,20,20,70
BETR99245893,WOODS230222_Ajax,180,9,9,15
BETR49933948,WOODS230222_Ajax,300,12,12,10.88
BETR67525347,WOODS230222_Ajax,280,14,14,23.73
BETR77733978,WOODS230222_Ajax,1740,116,116,223.72
BETR69597571,WOODS230222_Ajax,80,4,4,20
BETR76787842,WOODS230222_Ajax,240,12,12,11
